rank,ticker,name,market_cap_억
1,086520,에코프로,211132
2,196170,알테오젠,208673
3,247540,에코프로비엠,202449
4,277810,레인보우로보틱스,130949
5,000250,삼천당제약,122213
6,298380,에이비엘바이오,104623
7,950160,코오롱티슈진,77645
8,058470,리노공업,74764
9,028300,HLB,69487
10,240810,원익IPS,65478
11,141080,리가켐바이오,65386
12,214370,케어젠,62685
13,087010,펩트론,57944
14,039030,이오테크닉스,46629
15,140410,메지온,45212
16,214150,클래시스,43234
17,108490,로보티즈,41678
18,310210,보로노이,39730
19,347850,디앤디파마텍,37528
20,095340,ISC,37222
21,214450,파마리서치,36208
22,403870,HPSP,35700
23,0009K0,에임드바이오,34470
24,263750,펄어비스,34373
25,319400,현대무벡스,32633
26,145020,휴젤,32421
27,068760,셀트리온제약,31757
28,357780,솔브레인,30920
29,237690,에스티팜,30676
30,058610,에스피지,30450
31,041510,에스엠,27565
32,440110,파두,27221
33,005290,동진쎄미켐,27095
34,030530,원익홀딩스,26724
35,257720,실리콘투,26365
36,226950,올릭스,26065
37,035900,JYP Ent.,25370
38,475830,오름테라퓨틱,25012
39,064760,티씨케이,24707
40,036930,주성엔지니어링,23398
41,084370,유진테크,23191
42,067310,하나마이크론,23112
43,290650,엘앤씨바이오,23053
44,083650,비에이치아이,22868
45,032820,우리기술,22715
46,323280,태성,22476
47,098460,고영,22107
48,178320,서진시스템,21299
49,458870,씨어스테크놀로지,21076
50,065350,신성델타테크,20805
51,160190,하이젠알앤엠,20448
52,476830,알지노믹스,20037
53,039200,오스코텍,19894
54,445680,큐리옥스바이오시스템즈,19791
55,099320,쎄트렉아이,19581
56,222800,심텍,19455
57,491000,리브스메드,19276
58,101490,에스앤에스텍,19073
59,140860,파크시스템스,18366
60,347700,스피어,18167
61,035760,CJ ENM,17543
62,348370,엔켐,17393
63,437730,삼현,17312
64,319660,피에스케이,17177
65,082270,젬백스,17072
66,085660,차바이오텍,17011
67,232140,와이씨,16860
68,090710,휴림로봇,16843
69,466100,클로봇,16820
70,003380,하림지주,16689
71,089030,테크윙,16267
72,043260,성호전자,16241
73,397030,에이프릴바이오,16083
74,031980,피에스케이홀딩스,15978
75,195940,HK이노엔,15695
76,281740,레이크머티리얼즈,15611
77,007390,네이처셀,15400
78,080220,제주반도체,15362
79,060370,LS마린솔루션,15358
80,456160,지투지바이오,15304
81,038500,삼표시멘트,15065
82,253450,스튜디오드래곤,15029
83,056080,유진로봇,14892
84,096530,씨젠,14519
85,388720,유일로보틱스,14293
86,115180,큐리언트,14133
87,189300,인텔리안테크,14071
88,293490,카카오게임즈,14034
89,122870,와이지엔터테인먼트,13981
90,078600,대주전자재료,13886
91,218410,RFHIC,13411
92,388210,씨엠티엑스,13254
93,204270,제이앤티씨,12900
94,095610,테스,12816
95,137400,피엔티,12651
