rank,ticker,name,market_cap_억
1,005930,삼성전자,11424901
2,000660,SK하이닉스,6777799
3,005935,삼성전자우,1110542
4,005380,현대차,1070883
5,373220,LG에너지솔루션,926640
6,207940,삼성바이오로직스,794816
7,402340,SK스퀘어,766105
8,000270,기아,674243
9,034020,두산에너빌리티,653372
10,012450,한화에어로스페이스,637324
11,329180,HD현대중공업,637115
12,105560,KB금융,628999
13,028260,삼성물산,564322
14,068270,셀트리온,561447
15,055550,신한지주,494234
16,032830,삼성생명,464000
17,042660,한화오션,451041
18,012330,현대모비스,404214
19,015760,한국전력,402511
20,035420,NAVER,400758
21,006800,미래에셋증권,387320
22,267260,HD현대일렉트릭,384623
23,010130,고려아연,359641
24,086790,하나금융지주,359319
25,009540,HD한국조선해양,334049
26,009150,삼성전기,318569
27,006400,삼성SDI,315492
28,005490,POSCO홀딩스,314020
29,316140,우리금융지주,295833
30,034730,SK,274785
31,000810,삼성화재,259963
32,010140,삼성중공업,257400
33,035720,카카오,257154
34,298040,효성중공업,255866
35,138040,메리츠금융지주,246011
36,064350,현대로템,241750
37,051910,LG화학,234720
38,267250,HD현대,231450
39,096770,SK이노베이션,217064
40,010120,LS ELECTRIC,216600
41,024110,기업은행,216501
42,011200,HMM,216473
43,066570,LG전자,215987
44,272210,한화시스템,210267
45,033780,KT&G,208229
46,086280,현대글로비스,200625
47,003670,포스코퓨처엠,200574
48,042700,한미반도체,194437
49,000150,두산,181695
50,352820,하이브,172804
51,017670,SK텔레콤,172047
52,047810,한국항공우주,171166
53,030200,KT,170619
54,0126Z0,삼성에피스홀딩스,162984
55,071050,한국금융지주,155476
56,003550,LG,153450
57,000720,현대건설,150776
58,005830,DB손해보험,140156
59,005940,NH투자증권,136658
60,018260,삼성에스디에스,135875
61,323410,카카오뱅크,135471
62,010950,S-Oil,128907
63,047050,포스코인터내셔널,128775
64,039490,키움증권,127969
65,259960,크래프톤,123013
66,307950,현대오토에버,119294
67,278470,에이피알,111364
68,079550,LIG넥스원,107690
69,005387,현대차2우B,99647
70,180640,한진칼,98675
71,016360,삼성증권,97694
72,003490,대한항공,97394
73,003230,삼양식품,94012
74,000880,한화,93773
75,326030,SK바이오팜,91783
76,090430,아모레퍼시픽,91600
77,161390,한국타이어앤테크놀로지,91296
78,000100,유한양행,90161
79,377300,카카오페이,89876
80,009830,한화솔루션,88009
81,006260,LS,85907
82,443060,HD현대마린솔루션,82669
83,128940,한미약품,78916
84,007660,이수페타시스,78695
85,029780,삼성카드,76814
86,032640,LG유플러스,74360
87,028050,삼성E&A,69972
88,138930,BNK금융지주,69824
89,034220,LG디스플레이,69800
90,175330,JB금융지주,69403
91,064400,LG씨엔에스,69273
92,267270,HD건설기계,68123
93,078930,GS,67828
94,454910,두산로보틱스,66376
95,005385,현대차우,66288
96,001040,CJ,64773
97,011070,LG이노텍,64138
98,001440,대한전선,63858
99,241560,두산밥캣,62690
100,021240,코웨이,62273
101,052690,한전기술,61764
102,022100,포스코DX,57317
103,088980,맥쿼리인프라,56034
104,271560,오리온,53769
105,002380,KCC,53230
106,088350,한화생명,51851
107,062040,산일전기,50308
108,036570,엔씨소프트,49444
109,004020,현대제철,49442
110,251270,넷마블,48822
111,018880,한온시스템,47413
112,082740,한화엔진,47064
113,450080,에코프로머티,46216
114,066970,엘앤에프,45914
115,017800,현대엘리베이터,43666
116,001720,신영증권,41922
117,011790,SKC,41769
118,035250,강원랜드,41718
119,051900,LG생활건강,41623
120,031210,서울보증보험,41334
121,036460,한국가스공사,41264
122,111770,영원무역,40545
123,004990,롯데지주,40495
124,000990,DB하이텍,40459
125,103590,일진전기,39245
126,302440,SK바이오사이언스,39217
127,011780,금호석유화학,38267
128,011170,롯데케미칼,36872
129,012510,더존비즈온,36034
130,012750,에스원,35225
131,439260,대한조선,34789
132,004170,신세계,34433
133,014680,한솔케미칼,34289
134,139130,iM금융지주,34213
